user,videogame,rating
439381673,A21ROB4YDOZA5P,1
439381673,A3TNZ2Q5E7HTHD,3
439381673,A1OKRM3QFEATQO,4
439381673,A2XO1JFCNEYV3T,1
439381673,A19WLPIRHD15TH,4
439381673,A1TLA7XXSZMTS7,5
439381673,A3I9GK5OO42B0I,3
439381673,A3TPP95Y9DH3L9,5
439381673,A19GOZTT15KPG1,5
439381673,A1441WFJ5KRP7J,5
439381673,ATVYWID968EUQ,5
439381673,A3FGRYQWUEM6UP,5
439381673,AKQPJ6MMWXRP9,1
439381673,AK893YQY5FJIP,1
439381673,A1PVJA5BYG6XOJ,5
439381673,A3S1M68MUHPJ11,5
439381673,A25J1LXJFFB1RC,5
439381673,A1S50ZJ0RQJA3,2
439381673,A1Q7VM39KORQDG,5
439381673,A1MN8PP39IIB7N,5
439381673,A23JCKJ9AHXRZZ,4
439381673,A1E2L47OGJVWOW,3
439381673,A9OSOC53QERJ1,5
439381673,A3QH6B8A8RNZU5,1
439381673,A2EQI1KQ8BNVBN,1
439381673,A4L3IOTGCR9NW,1
439381673,A2OEZWDEDY19L0,4
439381673,A2B79FG0GBD5ZW,1
439381673,ARNF05LJD98X2,5
439381673,AYHD5NXEGBMDK,1
439381673,A3G8LSDLKAMFMR,5
439381673,A4480YFBII5BF,3
439381673,AR9984T786QGT,1
439381673,A1404782FUNKF7,3
439381673,A1E6AXXMDYRFS3,5
439381673,A1WEOXIAQEBWZR,1
439381673,A3OU11ZFNAGKL8,1
439381673,A1OT385HNQ7KVP,1
439381673,AC4SHUM57T99K,1
439381673,A1F1QP9FYQEVU,5
700026657,ATI21V0A8K25G,4
700026657,A2L939JSLGHBP6,1
700026657,A1HP7NVNPFMA4N,5
700026657,A3GSLFI8NA3QCN,3
700026657,A1JGAP0185YJI6,4
700026657,A3I3QZXDI4305I,5
700026657,AED58LHQJHK6E,5
700026657,A2LK3J4OAGFJ7L,5
700026657,AO8J07F45Z6OP,3
700026657,AIBP5PGTFMYS4,1
700026657,A1YJWEXHQBWK2B,3
700026657,A2204E1TH211HT,2
700026657,A11XVG7N4TT0DK,3
700026657,A1006R3YKQI5U0,1
700026657,A2RF5B5H74JLPE,5
700026657,A1IT1JUA7WZOCE,3
700026657,A1BGKIN5F7XD4Q,5
700026657,A17AYBXMT3WJTH,1
700026657,A11V6ZJ2FVQY1D,4
700026657,A24RZP2VUVX42E,5
700026657,A25RI3BR974ASP,5
700026657,A1QOYBHQY715H8,1
700026657,A2KESD2NZCRAAO,5
700026657,A1EZ0T2X1QGYCH,5
700026657,A1KXJ1ELZIU05C,1
700026657,A19IT2DZZNKQK7,3
700026657,AW9Y1J1ETJ4XB,5
700026657,A31FZLNKBBBPC4,5
700026657,A3HR8L31S8AFF6,5
700026657,A1WK5I4874S3O2,5
700026657,AV969NA4CBP10,5
700026657,A6Q1IUFSN2E2D,1
700026657,AA9LU15A9PX9E,3
700026657,A3UNTT3TJ8RC45,5
700026657,A1EO9BFUHTGWKZ,4
700026657,AQ6WW45IHO83P,4
700026657,A2IU72XM9F49P6,5
700026657,A29BCFRLQ33TY2,2
700026657,A1EHUIMKXQ45NX,3
700026657,A8SSL0QMV2VY1,2
700026657,A2VLH0R0UP9ULJ,5
700026657,AHHPSZAVRAQ9D,3
700026657,A3KSKDF6K48NU6,1
700026657,A1JPYSVXO2PV36,1
700026657,AFVETWC6I3BLJ,2
700026657,A3IPBPB0Q9O5ZR,5
700026657,A23LPWYLCEXQ4U,5
700026657,ADIFU04E5VS5,3
700026657,A2M8JTIST6FPZZ,4
700026657,ABU5YE20PHC8R,5
700026657,A6XUMA60GD7OZ,1
700026657,A1LMJ9W8UX1H5B,1
700099867,AN3YYDZAS3O1Y,5
700099867,A279DB4S5P2GQP,1
700099867,A3BQMSVKFEZHLU,4
700099867,A1ZPG1Z2EDGJWM,2
700099867,A38NXTZUFB1O2K,5
700099867,A15PIAQT55GNCA,5
700099867,A361M14PU2GUEG,4
700099867,A2LQCBLLJVVR5T,5
700026398,A339QGLOYAP86Z,5
700026398,A1NQ759X8WPIVV,1
700026398,A7VG63X51IK1T,5
700026398,APFCXOFX0KUPN,1
700026398,A2GPRA9HHLOC4B,4
700099867,A2LVV3GA8LN557,5
700099867,AOU1XGSY649W7,4
700099867,A1TWIKQ9EZWMJ1,5
700099867,A2NCWBGYCK9RS1,3
700099867,A3SI21CJG32D0Y,4
700099867,AW4C5Q2TSQOP4,4
700099867,A1PXJR5RPG6LI,5
700099867,A2M6IMJ3TUYF7,5
700099867,APUV5CMRTBZJ,3
700099867,A11KXFJBYNLUXL,5
700026398,A2RGUDIF7VB7JZ,4
700026398,A2FTI5YE727I78,4
700026398,A3998KVEZV9CW5,5
700026398,A37AO20OXS51QA,4
700026398,A2MF7S0MGOZ7OC,5
700026398,A210VTHGXIJFQ6,5
700026398,A4D7NRLCQDW72,4
700026398,A2IPY9UTB8JEU5,2
700026398,A2ICCE41Z2LWZ5,5
700026398,A1DQYK20U6BP0V,4
700099867,A248LSBZT4P38V,1
700099867,A1INA0F5CWW3J4,1
700099867,A39EMMLBW6SLSB,1
700099867,A3QFHP7AMI54IX,3
700099867,A2XKDRH3XXU78C,1
700099867,A2JLT2WY0F2HVI,2
700099867,A1BT09YVO3AXAJ,2
700099867,A3GB9OF65GKZF7,1
700099867,AHT34BRYFBFT1,5
